"Action","Acción"
"Add New Key","Agregar Nueva Clave"
"Automatic Translate","Traducción Automática"
"Available files","Archivos disponibles"
"Back","Volver"
"Back To Packages","Volver a Paquetes"
"Based On","Basado En"
"BING Settings","Configuración de BING"
"Change this value if you want to translate this key with this value over all modules.","Cambie este valor si desea traducir esta clave con este valor en todos los módulos."
"Client Id","Id de Cliente"
"Client Secret","Secreto de Cliente"
"Create New Key","Crear Nueva Clave"
"Create New Package","Crear Nuevo Paquete"
"Created At","Creado El"
"Created At:","Creado El:"
"Delete","Borrar"
"Download Files","Descargar Archivos"
"Download Package files","Descargar archivos del Paquete"
"Edit","Editar"
"Edit Inline Translation","Editar Traducción Inline"
"Edit Key for %s","Editar Clave para %s"
"Edit Key for Package %s","Editar Clave para el Paquete %s"
"Edit Package %s","Editar Paquete %s"
"Enable","Habilitado"
"Execute this action after you have saved your data.","Ejecutar esta acción después de guardar sus credenciales."
"Existing Locales","Locales Existentes"
"Filename","Archivo"
"Generate Package","Generar Paquete"
"ID","ID"
"Import","Importar"
"Import Existing Package","Importar Paquete Existente"
"Import Package","Importar Paquete"
"Import package","Importar paquete"
"Inline Translate does not exist","La Traducción Inline no existe"
"Inline Translation was successfully deleted","La Traducción Inline fue borrada correctamente"
"Inline Translation was successfully saved","La Traducción Inline fue guardada correctamente"
"Key","Clave"
"Key Translation","Traducción de Clave"
"Key was successfully saved","La Clave fue guarada correctamente"
"Keys","Claves"
"Language","Idioma"
"Last Update","Última Actualización"
"Last Update:","Última Actualización:"
"Locale","Idioma"
"Locale Code:","Código del Locale:"
"Manage","Administrar"
"Mass Update","Actualización Masiva"
"Module","Módulo"
"Modules list successfully updated.","Lista de Módulos actualizada correctamente."
"New Package","Nuevo Paquete"
"Next","Siguiente"
"Options","Opciones"
"Package","Paquetes"
"Package %s Keys","Claves del Paquete %s"
"Package Information","Información del Paquete"
"Package was successfully generated","El Paquete fue generado correctamente"
"Package:","Paquete:"
"Packages","Paquetes"
"Previous","Anterior"
"Refresh Modules List","Actualizar la Lista de Módulos"
"Run Test","Probar"
"Save","Guardar"
"Select All","Seleccionar todos"
"Selected files will be downloaded","Los archivos seleccionados serán descargados"
"Store View","Store View"
"String","Texto"
"Test Credentials","Probar credenciales"
"Translate","Traducción"
"Translation Inline","Traducciones Inline"
"Unselect All","Deseleccionar todos"
"Upload CSV files","Subir archivos CSV"
"Upload Files","Subir Archivos"
"Upload files","Subir archivos"
"Upload Package files","Subir archivos del Paquete"
"Value","Valor"
"View","Ver"
"Your API credentials are OK","Sus credenciales para la API son correctas"
